mine_id,subunit_cd,calendar_yr,annual_hrs,annual_coal_prod,avg_annual_empl,load_dt
0103342,99,2017,690,0,1,2018-01-31 01:03:36.321583 -05:00
0103345,99,2017,40,0,1,2018-01-31 01:03:40.865636 -05:00
0103345,03,2017,8320,0,4,2018-01-31 01:03:39.181290 -05:00
0103347,99,2017,3616,0,3,2018-01-31 01:03:41.101773 -05:00
0103347,03,2017,25411,0,11,2018-01-31 01:03:39.310241 -05:00
0103352,03,2017,5271,0,7,2018-01-31 01:03:41.237405 -05:00
0103352,99,2017,729,0,1,2018-01-31 01:03:36.929921 -05:00
0103353,99,2017,430,0,1,2018-01-31 01:03:36.066265 -05:00
0103353,03,2017,4783,0,4,2018-01-31 01:03:36.422587 -05:00
0103356,30,2017,18926,0,7,2018-01-31 01:03:35.996744 -05:00
0103356,03,2017,8970,0,3,2018-01-31 01:03:37.899616 -05:00
0103356,99,2017,7853,0,2,2018-01-31 01:03:36.781459 -05:00
0103358,03,2017,18178,26655,18,2018-01-31 01:03:36.882555 -05:00
0103359,03,2017,3614,0,2,2018-01-31 01:03:38.036720 -05:00
0103359,06,2017,2457,0,1,2018-01-31 01:03:37.157368 -05:00
0103359,99,2017,2232,0,1,2018-01-31 01:03:36.290929 -05:00
0103363,99,2017,2893,0,1,2018-01-31 01:03:39.350193 -05:00
0103363,03,2017,61085,0,21,2018-01-31 01:03:37.346760 -05:00
0103372,03,2017,950,0,2,2018-01-31 01:03:36.041250 -05:00
0103380,99,2017,2256,0,1,2018-01-31 01:03:39.367998 -05:00
0103380,30,2017,14763,0,8,2018-01-31 01:03:38.822883 -05:00
0103381,04,2017,8694,88362,5,2018-01-31 01:03:38.150250 -05:00
0103385,03,2017,3576,0,6,2018-01-31 01:03:38.399898 -05:00
0103386,99,2017,1184,0,1,2018-01-31 01:03:40.849631 -05:00
0103386,06,2017,3926,0,3,2018-01-31 01:03:40.574324 -05:00
0103389,01,2017,48391,92882,16,2018-01-31 01:03:37.701623 -05:00
0103389,02,2017,5968,0,3,2018-01-31 01:03:36.529235 -05:00
0103399,99,2017,2463,0,1,2018-01-31 01:03:40.127094 -05:00
0103399,03,2017,32655,0,13,2018-01-31 01:03:39.138885 -05:00
0103403,99,2017,2498,0,1,2018-01-31 01:03:38.138022 -05:00
0103403,03,2017,25462,0,10,2018-01-31 01:03:36.917758 -05:00
0103406,99,2017,2054,0,1,2018-01-31 01:03:41.277651 -05:00
0103406,03,2017,17727,0,11,2018-01-31 01:03:41.177663 -05:00
0103411,03,2017,27802,0,8,2018-01-31 01:03:40.608444 -05:00
0103413,30,2017,20325,0,7,2018-01-31 01:03:41.007319 -05:00
0103413,03,2017,6682,0,3,2018-01-31 01:03:38.173455 -05:00
0103413,99,2017,8164,0,2,2018-01-31 01:03:36.469072 -05:00
0103415,03,2017,36,0,1,2018-01-31 01:03:40.194070 -05:00
0103415,99,2017,34,0,1,2018-01-31 01:03:37.036532 -05:00
0103419,02,2017,8677,0,5,2018-01-31 01:03:39.692449 -05:00
0103419,01,2017,80866,197866,32,2018-01-31 01:03:36.415295 -05:00
0103421,03,2017,23245,53800,24,2018-01-31 01:03:41.651539 -05:00
0103424,03,2017,2128,0,3,2018-01-31 01:03:40.553154 -05:00
0103425,03,2017,8573,0,4,2018-01-31 01:03:37.672724 -05:00
0103426,30,2017,12677,0,7,2018-01-31 01:03:39.865324 -05:00
0103427,03,2017,228,0,2,2018-01-31 01:03:40.939096 -05:00
0103432,03,2017,1320,6379,1,2018-01-31 01:03:41.525382 -05:00
0103433,03,2017,6105,0,3,2018-01-31 01:03:41.238568 -05:00
0103437,03,2017,158459,356053,59,2018-01-31 01:03:40.328420 -05:00
0103437,99,2017,4160,0,2,2018-01-31 01:03:39.456362 -05:00
0103444,03,2017,86814,180409,33,2018-01-31 01:03:40.990175 -05:00
0103444,99,2017,2362,0,1,2018-01-31 01:03:39.591688 -05:00
0103450,99,2017,4343,0,3,2018-01-31 01:03:39.603585 -05:00
